originalLocation,position,x,y,z
E-24-12,"102, 360, 1",102,360,1
E-24-13,"86, 360, 1",86,360,1
E-24-21,"118, 360, 2",118,360,2
E-24-22,"102, 360, 2",102,360,2
E-24-23,"86, 360, 2",86,360,2
E-24-30,"102, 360, 3",102,360,3
E-24-40,"102, 360, 4",102,360,4
E-25-30,"403, 688, 3",403,688,3
E-25-40,"403, 688, 4",403,688,4
E-26-30,"403, 720, 3",403,720,3
E-26-40,"403, 720, 4",403,720,4
F-13-11,"368, 392, 1",368,392,1
F-13-12,"352, 392, 1",352,392,1
F-13-13,"336, 392, 1",336,392,1
F-13-21,"368, 392, 2",368,392,2
F-13-22,"352, 392, 2",352,392,2
F-13-23,"336, 392, 2",336,392,2
F-13-30,"352, 392, 3",352,392,3
F-13-40,"352, 392, 4",352,392,4
F-14-11,"368, 450, 1",368,450,1
F-14-12,"352, 450, 1",352,450,1
F-14-13,"336, 450, 1",336,450,1
F-14-21,"368, 450, 2",368,450,2
F-14-22,"352, 450, 2",352,450,2
F-14-23,"336, 450, 2",336,450,2
F-14-30,"352, 450, 3",352,450,3
F-14-40,"352, 450, 4",352,450,4
F-15-11,"318, 392, 1",318,392,1
F-15-12,"302, 392, 1",302,392,1
F-15-13,"286, 392, 1",286,392,1
F-15-21,"318, 392, 2",318,392,2
F-15-22,"302, 392, 2",302,392,2
F-15-23,"286, 392, 2",286,392,2
F-15-30,"302, 392, 3",302,392,3
F-15-40,"302, 392, 4",302,392,4
F-16-11,"318, 450, 1",318,450,1
F-16-12,"302, 450, 1",302,450,1
F-16-13,"286, 450, 1",286,450,1
F-16-21,"318, 450, 2",318,450,2
F-16-22,"302, 450, 2",302,450,2
F-16-23,"286, 450, 2",286,450,2
F-16-30,"302, 450, 3",302,450,3
F-16-40,"302, 450, 4",302,450,4
F-17-11,"268, 392, 1",268,392,1
F-17-12,"252, 392, 1",252,392,1
F-17-13,"236, 392, 1",236,392,1
F-17-21,"268, 392, 2",268,392,2
F-17-22,"252, 392, 2",252,392,2
F-17-23,"236, 392, 2",236,392,2
F-17-30,"252, 392, 3",252,392,3
F-17-40,"252, 392, 4",252,392,4
F-18-11,"268, 450, 1",268,450,1
F-18-12,"252, 450, 1",252,450,1
F-18-13,"236, 450, 1",236,450,1
F-18-21,"268, 450, 2",268,450,2
F-18-22,"252, 450, 2",252,450,2
F-18-23,"236, 450, 2",236,450,2
F-18-30,"252, 450, 3",252,450,3
F-18-40,"252, 450, 4",252,450,4
F-19-11,"218, 392, 1",218,392,1
F-19-12,"202, 392, 1",202,392,1
F-19-13,"186, 392, 1",186,392,1
F-19-21,"218, 392, 2",218,392,2
F-19-22,"202, 392, 2",202,392,2
F-19-23,"186, 392, 2",186,392,2
F-19-30,"202, 392, 3",202,392,3
F-19-40,"202, 392, 4",202,392,4
F-20-11,"218, 450, 1",218,450,1
F-20-12,"202, 450, 1",202,450,1
F-20-13,"186, 450, 1",186,450,1
F-20-21,"218, 450, 2",218,450,2
F-20-22,"202, 450, 2",202,450,2
F-20-23,"186, 450, 2",186,450,2
F-20-30,"202, 450, 3",202,450,3
F-20-40,"202, 450, 4",202,450,4
F-21-11,"168, 392, 1",168,392,1
F-21-12,"152, 392, 1",152,392,1
F-21-13,"136, 392, 1",136,392,1
F-21-21,"168, 392, 2",168,392,2
F-21-22,"152, 392, 2",152,392,2
F-21-23,"136, 392, 2",136,392,2
F-21-30,"152, 392, 3",152,392,3
F-21-40,"152, 392, 4",152,392,4
F-22-11,"168, 450, 1",168,450,1
F-22-12,"152, 450, 1",152,450,1
F-22-13,"136, 450, 1",136,450,1
F-22-21,"168, 450, 2",168,450,2
F-22-22,"152, 450, 2",152,450,2
F-22-23,"136, 450, 2",136,450,2
F-22-30,"152, 450, 3",152,450,3
F-22-40,"152, 450, 4",152,450,4
F-23-11,"118, 392, 1",118,392,1
F-23-12,"102, 392, 1",102,392,1
F-23-13,"86, 392, 1",86,392,1
F-23-21,"118, 392, 2",118,392,2
F-23-22,"102, 392, 2",102,392,2
F-23-23,"86, 392, 2",86,392,2
F-23-30,"102, 392, 3",102,392,3
F-23-40,"102, 392, 4",102,392,4
F-24-11,"118, 450, 1",118,450,1
F-24-12,"102, 450, 1",102,450,1
F-24-13,"86, 450, 1",86,450,1
F-24-21,"118, 450, 2",118,450,2
F-24-22,"102, 450, 2",102,450,2
F-24-23,"86, 450, 2",86,450,2
F-24-30,"102, 450, 3",102,450,3
F-24-40,"102, 450, 4",102,450,4
G-13-11,"368, 482, 1",368,482,1
G-13-12,"352, 482, 1",352,482,1
G-13-13,"336, 482, 1",336,482,1
G-13-21,"368, 482, 2",368,482,2
G-13-22,"352, 482, 2",352,482,2
G-13-23,"336, 482, 2",336,482,2
G-13-30,"352, 482, 3",352,482,3
G-13-40,"352, 482, 4",352,482,4
G-15-11,"318, 482, 1",318,482,1
G-15-12,"302, 482, 1",302,482,1
G-15-13,"286, 482, 1",286,482,1
G-15-21,"318, 482, 2",318,482,2
G-15-22,"302, 482, 2",302,482,2
G-15-23,"286, 482, 2",286,482,2
G-15-30,"302, 482, 3",302,482,3
G-15-40,"302, 482, 4",302,482,4
G-17-11,"268, 482, 1",268,482,1
G-17-12,"252, 482, 1",252,482,1
G-17-13,"236, 482, 1",236,482,1
G-17-21,"268, 482, 2",268,482,2
G-17-22,"252, 482, 2",252,482,2
G-17-23,"236, 482, 2",236,482,2
G-17-30,"252, 482, 3",252,482,3
G-17-40,"252, 482, 4",252,482,4
G-19-11,"218, 482, 1",218,482,1
G-19-12,"202, 482, 1",202,482,1
G-19-13,"186, 482, 1",186,482,1
G-19-21,"218, 482, 2",218,482,2
G-19-22,"202, 482, 2",202,482,2
G-19-23,"186, 482, 2",186,482,2
G-19-30,"202, 482, 3",202,482,3
G-19-40,"202, 482, 4",202,482,4
G-21-11,"168, 482, 1",168,482,1
G-21-12,"152, 482, 1",152,482,1
G-21-13,"136, 482, 1",136,482,1
G-21-21,"168, 482, 2",168,482,2
G-21-22,"152, 482, 2",152,482,2
G-21-23,"136, 482, 2",136,482,2
G-21-30,"152, 482, 3",152,482,3
G-21-40,"152, 482, 4",152,482,4
G-23-11,"118, 482, 1",118,482,1
G-23-12,"102, 482, 1",102,482,1
G-23-13,"86, 482, 1",86,482,1
G-23-21,"118, 482, 2",118,482,2
G-23-22,"102, 482, 2",102,482,2
G-23-23,"86, 482, 2",86,482,2
G-23-30,"102, 482, 3",102,482,3
G-23-40,"102, 482, 4",102,482,4
G-25-30,"403, 778, 3",403,778,3
G-25-40,"403, 778, 4",403,778,4
G-26-30,"403, 810, 3",403,810,3
G-26-40,"403, 810, 4",403,810,4
H-02-11,"666, 688, 1",666,688,1
H-02-12,"650, 688, 1",650,688,1
H-02-13,"634, 688, 1",634,688,1
H-02-21,"666, 688, 2",666,688,2
H-02-22,"650, 688, 2",650,688,2
H-02-23,"634, 688, 2",634,688,2
H-02-30,"650, 688, 3",650,688,3
H-02-40,"650, 688, 4",650,688,4
H-04-11,"616, 688, 1",616,688,1
H-04-12,"600, 688, 1",600,688,1
H-04-13,"584, 688, 1",584,688,1
H-04-21,"616, 688, 2",616,688,2
H-04-22,"600, 688, 2",600,688,2
H-04-23,"584, 688, 2",584,688,2
H-04-30,"600, 688, 3",600,688,3
H-04-40,"600, 688, 4",600,688,4
H-06-11,"566, 688, 1",566,688,1
H-06-12,"550, 688, 1",550,688,1
H-06-13,"534, 688, 1",534,688,1
H-06-21,"566, 688, 2",566,688,2
H-06-22,"550, 688, 2",550,688,2
H-06-23,"534, 688, 2",534,688,2
H-06-30,"550, 688, 3",550,688,3
H-06-40,"550, 688, 4",550,688,4
H-08-11,"516, 688, 1",516,688,1
H-08-12,"500, 688, 1",500,688,1
H-08-13,"484, 688, 1",484,688,1
H-08-21,"516, 688, 2",516,688,2
H-08-22,"500, 688, 2",500,688,2
H-08-23,"484, 688, 2",484,688,2
H-08-30,"500, 688, 3",500,688,3
H-08-40,"500, 688, 4",500,688,4
H-10-11,"466, 688, 1",466,688,1
H-10-12,"450, 688, 1",450,688,1
H-10-13,"434, 688, 1",434,688,1
H-10-21,"466, 688, 2",466,688,2
H-10-22,"450, 688, 2",450,688,2
H-10-23,"434, 688, 2",434,688,2
H-10-30,"450, 688, 3",450,688,3
H-10-40,"450, 688, 4",450,688,4
H-14-11,"368, 540, 1",368,540,1
H-14-12,"352, 540, 1",352,540,1
H-14-13,"336, 540, 1",336,540,1
H-14-21,"368, 540, 2",368,540,2
H-14-22,"352, 540, 2",352,540,2
H-14-23,"336, 540, 2",336,540,2
H-14-30,"352, 540, 3",352,540,3
H-14-40,"352, 540, 4",352,540,4
H-16-11,"318, 540, 1",318,540,1
H-16-12,"302, 540, 1",302,540,1
H-16-13,"286, 540, 1",286,540,1
H-16-21,"318, 540, 2",318,540,2
H-16-22,"302, 540, 2",302,540,2
H-16-23,"286, 540, 2",286,540,2
H-16-30,"302, 540, 3",302,540,3
H-16-40,"302, 540, 4",302,540,4
H-18-11,"268, 540, 1",268,540,1
H-18-12,"252, 540, 1",252,540,1
H-18-13,"236, 540, 1",236,540,1
H-18-21,"268, 540, 2",268,540,2
H-18-22,"252, 540, 2",252,540,2
H-18-23,"236, 540, 2",236,540,2
H-18-30,"252, 540, 3",252,540,3
H-18-40,"252, 540, 4",252,540,4
H-20-11,"218, 540, 1",218,540,1
H-20-12,"202, 540, 1",202,540,1
H-20-13,"186, 540, 1",186,540,1
H-20-21,"218, 540, 2",218,540,2
H-20-22,"202, 540, 2",202,540,2
H-20-23,"186, 540, 2",186,540,2
H-20-30,"202, 540, 3",202,540,3
H-20-40,"202, 540, 4",202,540,4
H-22-11,"168, 540, 1",168,540,1
H-22-12,"152, 540, 1",152,540,1
H-22-13,"136, 540, 1",136,540,1
H-22-21,"168, 540, 2",168,540,2
H-22-22,"152, 540, 2",152,540,2
H-22-23,"136, 540, 2",136,540,2
H-22-30,"152, 540, 3",152,540,3
H-22-40,"152, 540, 4",152,540,4
H-24-11,"118, 540, 1",118,540,1
