originalLocation,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18
A-16-13,AKP0A7;16,O7TSVL;13,D05ZS7;6,NISP6K;9,X0HH8Y;14,TOENMT;5,BLJLMQ;15,ZRCYSH;14,G8ASPE;6,X31OGS;16,4ILN0A;4,5P2MVG;10,XPZSZ1;13,DSQXYR;6,8E9F1P;12,F73ZE1;8,QM2UH1;4,B24J86;15
A-16-21,KTDZY0;10,A19092;14,8N10W9;12,I2B1FH;12,9KHDG3;5,EAJXUV;11,QM2UH1;16,YXGRMP;9,H51IVV;11,HLOISD;13,IYXV3Z;8,EQQBND;10,EAJXUV;15,DGAONE;13,122OKQ;16,AHSNWF;7,XSFSKX;16,4SD17H;9
A-16-22,800OVF;10,QVFB0Q;5,UCRNWD;14,TLFT43;13,ETU70R;16,K3YA1X;11,Q164T6;10,32ZKOX;8,YXGRMP;7,5X8RAN;11,JGP0ID;8,SY1DDY;4,84ABYS;15,PP9DNA;4,QTMT7N;7,SVJZKL;12,JWTWL1;16,63KAC1;12
A-16-23,70EPUK;6,122OKQ;4,8D9SAW;14,A19092;11,I1X92B;6,J2URNJ;4,FQ53YY;11,3LQL9L;5,SVJZKL;13,5HQR89;16,HCMI82;10,VWXLZJ;7,ULG3QT;12,O9YFO8;7,MLV9BR;16,Q50W5L;10,ZGYCSW;9,DNLEH7;16
A-16-30,1D2ILZ;9,TLFT43;15,IPGA7X;12,IYV9SV;12,RN2DSQ;15,HI2X6U;16,KTDZY0;5,YKQY4X;8,HGXJD0;6,RAUDQ6;4,ULG3QT;15,TQBVRI;9,PP9DNA;14,4ILN0A;15,RBKNR4;5,I2B1FH;5,TAHFOD;5,8N10W9;4
A-16-40,9KZ6W1;13,QOMHJ2;11,I1KDJ0;7,7BU1V7;5,EAJXUV;12,QVFB0Q;8,I2B1FH;13,CST1KC;8,Z8KPP8;9,PY5UPB;13,J3FI7N;9,8BSFSA;7,D05ZS7;13,SWN7AU;9,AHSNWF;11,6M2FJM;4,QM2UH1;4,H51IVV;14
A-18-11,X0HH8Y;4,EQQBND;13,EAJXUV;11,AHSNWF;11,M67GNC;5,IAKTYD;4,I1KDJ0;10,U8203G;9,32ZKOX;16,32ZKOX;15,70EPUK;13,F73ZE1;13,AHR20O;4,KZ5VR3;11,QXS5D1;13,EA91CP;13,QXS5D1;4,9S4AF8;6
A-18-12,YN8OHN;14,YF0X2Z;15,F73ZE1;9,CVU3QV;11,DSQXYR;5,RAUDQ6;10,QM2UH1;7,4E0KXI;15,EYEOXS;6,SWN7AU;9,YN8OHN;5,4E0KXI;9,5MNTT7;8,QM2UH1;11,YF0X2Z;15,IPGA7X;12,D8AMD3;4,M67GNC;4
A-18-13,6NDM0O;4,O7TSVL;12,1A6YTA;6,O9YFO8;15,WRRW1W;8,V7JUQL;5,X0HH8Y;10,O7AXAK;9,XPZSZ1;7,EYEOXS;12,6MKIC6;10,CST1KC;6,IAKTYD;11,CD1NU9;11,U8203G;7,RBKNR4;16,ASG1IT;12,AHR20O;13
A-18-21,YF0X2Z;14,TNAHD4;11,W518XY;15,6M2FJM;10,0SJH1Z;7,SWN7AU;10,SSQFQA;16,FJ25W1;13,122OKQ;12,1D2ILZ;8,5IXVJ1;4,Z26SRT;9,TNAHD4;6,5HQR89;13,2Z7ZEP;9,S90CD9;15,G8ASPE;15,HOUJQN;9
A-18-22,UNPPMJ;10,F98BNI;16,1ENECA;14,KUFVRI;15,JCIIEB;7,RAUDQ6;9,AX7BJ8;8,EBKM6C;10,D05ZS7;4,K3YA1X;16,SMMRK3;8,J3FI7N;4,8BSFSA;4,N6JU7C;8,1JT1XB;13,NJVZEL;8,ZGYCSW;4,HLOISD;14
A-18-23,5MNTT7;9,D8AMD3;16,6NDM0O;11,O9YFO8;7,69L9MX;6,X0HH8Y;15,Q50W5L;4,F0P5OQ;6,1D2ILZ;13,FQ53YY;11,O7AXAK;12,5HQR89;11,LXJQVG;9,F98BNI;7,SVFO5S;6,NM6C73;8,4SD17H;10,PY5UPB;14
A-18-30,PZUF7K;7,5HQR89;6,QXS5D1;8,F98BNI;14,0SJH1Z;8,W518XY;4,YMN5EM;11,S90CD9;11,QXS5D1;13,QOMHJ2;14,EBKM6C;5,V7JUQL;4,TAHFOD;10,F98BNI;4,F73ZE1;6,6N3PKW;10,PP9DNA;11,PP9DNA;7
A-18-40,H1I7JZ;7,37VA62;12,UU4A1K;4,AHSNWF;6,W518XY;13,4E1WTK;13,ZX6MUV;9,A7MDBC;13,LXJQVG;9,RAUDQ6;4,4SD17H;14,I1X92B;16,AHR20O;4,GPBMZJ;13,7GC57K;9,7GC57K;15,XLTRGL;4,5IXVJ1;7
A-20-11,4SD17H;14,J3FI7N;14,XLTRGL;8,9KHDG3;10,3LQL9L;15,XFQ9CP;11,HXQR4L;14,IAKTYD;6,122OKQ;4,AKP0A7;11,6N3PKW;12,CVU3QV;5,I1X92B;14,RUUOCB;12,TOENMT;6,DF3KQM;8,JCNON3;14,U8203G;16
A-20-12,4E1WTK;8,EO69NY;7,Y813MQ;11,ZRCYSH;5,IYLV38;9,4ILN0A;16,XFQ9CP;15,DF3KQM;11,AB9XBU;15,37VA62;13,UDF17E;6,PY5UPB;7,HOUGRO;9,UU4A1K;5,SY1DDY;14,O7AXAK;11,WH1BJI;9,Y813MQ;5
A-20-13,RBKNR4;13,DNLEH7;6,CST1KC;12,XUZJ74;11,LXJQVG;4,2T1DJM;4,5HQR89;7,NISP6K;6,NM6C73;5,WRRW1W;5,F7LULH;15,ZGYCSW;15,H1I7JZ;13,F73ZE1;5,TB6WIP;8,ADT9MG;11,W518XY;5,32ZKOX;11
A-20-21,1ENECA;7,TBCCF7;16,JWTWL1;16,CVU3QV;10,JGP0ID;5,KZ5VR3;13,5P2MVG;11,SVJZKL;10,9VBE59;13,CST1KC;14,I2B1FH;6,M67GNC;13,5HQR89;16,U8203G;9,PP9DNA;5,HOUJQN;15,8D9SAW;16,HOUGRO;15
A-20-22,70EPUK;4,JGP0ID;13,TAHFOD;7,KUFVRI;15,WRRW1W;12,122OKQ;6,9S4AF8;15,6N3PKW;8,HCMI82;7,ZRCYSH;9,O7TSVL;8,8E9F1P;8,4E0KXI;16,CVU3QV;12,MLV9BR;16,W518XY;13,ODZZLY;9,I2B1FH;13
A-20-23,TNAHD4;16,DSQXYR;8,QTMT7N;8,2LPO6D;9,32ZKOX;6,XLTRGL;10,TNZ1OO;6,5P2MVG;15,ZRCYSH;5,D8AMD3;9,ZX6MUV;9,VWXLZJ;6,NJVZEL;7,ETU70R;13,SSQFQA;12,QOMHJ2;6,IPGA7X;16,122OKQ;9
A-20-30,SMMRK3;15,W518XY;14,JEGRCL;4,HCMI82;10,JHSQHS;14,4ILN0A;10,ZRCYSH;10,9FWH2G;8,QVFB0Q;4,ZX6MUV;16,EUMBM7;11,F0P5OQ;14,APQKWK;12,AB9XBU;6,IYLV38;16,TQBVRI;14,E5CISL;9,YKQY4X;9
A-20-40,9S4AF8;13,HOUGRO;8,IPGA7X;6,W25EZN;14,5X8RAN;14,70EPUK;8,E2ES5Z;16,WH1BJI;7,JHSQHS;11,BLJLMQ;6,N6JU7C;8,122OKQ;16,AKP0A7;12,V7JUQL;9,TNZ1OO;11,QTMT7N;9,TNZ1OO;11,6WT73N;15
A-22-11,JCNON3;10,B24J86;9,A7MDBC;12,UCRNWD;5,O7AXAK;5,ADT9MG;13,Y813MQ;9,AHR20O;13,UDF17E;9,8BSFSA;7,QOMHJ2;13,VWXLZJ;8,XSFSKX;4,WGHG3L;16,8E9F1P;8,1A6YTA;11,7BU1V7;5,HGXJD0;6
A-22-12,H51IVV;11,CD1NU9;6,JGP0ID;15,JCIIEB;11,ADT9MG;5,KTDZY0;13,QTMT7N;8,D8AMD3;15,RAUDQ6;6,RN2DSQ;12,7GC57K;11,J2URNJ;16,PY5UPB;8,0LNUOV;11,122OKQ;4,066BOU;13,YXGRMP;15,SVFO5S;4
A-22-13,XLTRGL;5,8N10W9;16,D8AMD3;14,9VBE59;16,1D2ILZ;9,PC1PMV;5,066BOU;15,5IXVJ1;7,UHYJ3A;6,V7JUQL;10,EAJXUV;14,EQQBND;7,8N10W9;15,RN2DSQ;10,BLJLMQ;12,B24J86;10,VWXLZJ;10,I2B1FH;6
A-22-21,VWXLZJ;7,WRRW1W;13,X0HH8Y;12,YXGRMP;12,HLOISD;13,I2B1FH;5,IAKTYD;15,YXGRMP;15,HCMI82;15,1A6YTA;14,9S4AF8;6,O9YFO8;12,WGHG3L;14,1A6YTA;16,HXQR4L;5,DF3KQM;14,JUUL5B;16,7GC57K;5
A-22-22,TB6WIP;13,3LQL9L;9,HI2X6U;7,8BSFSA;9,KUFVRI;16,K3YA1X;8,N6JU7C;7,1JT1XB;4,4ILN0A;15,QOMHJ2;10,V7JUQL;8,O7TSVL;15,9FWH2G;7,9VBE59;14,IYV9SV;5,TQBVRI;9,Y813MQ;14,QTMT7N;6
A-22-23,8N10W9;5,YE890X;6,IAKTYD;9,ZX6MUV;13,HOUGRO;5,PP9DNA;12,JCNON3;11,IYXV3Z;14,CD1NU9;8,PP9DNA;14,SVJZKL;5,QM2UH1;14,JCIIEB;13,EO69NY;14,YMN5EM;12,8E9F1P;14,TBCCF7;7,6MKIC6;9
A-22-30,FQ53YY;8,B24J86;5,UU4A1K;13,2OAVPY;15,2LPO6D;12,IYXV3Z;15,9FWH2G;9,UMKYTJ;10,KUFVRI;4,XUZJ74;5,RBKNR4;15,UDF17E;16,HLOISD;16,YF0X2Z;16,IA7X1P;13,8BSFSA;16,4SD17H;5,9S4AF8;9
A-22-40,A7MDBC;8,5P2MVG;9,XUZJ74;10,D8AMD3;9,QM2UH1;15,DSQXYR;14,TBCCF7;9,V6K6JX;16,PC1PMV;9,8N10W9;15,Z26SRT;6,J2URNJ;4,IAKTYD;8,EO69NY;5,IYXV3Z;4,D05ZS7;9,S90CD9;7,1JT1XB;11
A-24-11,ADT9MG;11,SVFO5S;12,122OKQ;5,F29V5I;6,FQ53YY;10,CU53FM;6,02MRUH;12,EBKM6C;12,ETU70R;16,JGP0ID;5,AHR20O;8,XFQ9CP;7,ETU70R;11,W518XY;12,T3NVTG;11,TOENMT;9,F7LULH;15,F73ZE1;14
A-24-12,SY1DDY;16,CU53FM;16,TOENMT;10,HCMI82;10,5X8RAN;9,37VA62;7,JU0ODD;14,1D2ILZ;7,ODZZLY;12,D05ZS7;15,2LPO6D;7,APQKWK;15,VHQ356;13,DNLEH7;6,AKP0A7;14,VHQ356;15,9VBE59;7,DSQXYR;14
A-24-13,TAHFOD;11,9S4AF8;8,YKQY4X;5,4ILN0A;11,TNAHD4;13,UMKYTJ;7,EA91CP;8,JUUL5B;15,LXJQVG;8,Q50W5L;12,DSQXYR;14,56TC1Z;11,7GC57K;9,UNPPMJ;8,ZGYCSW;12,V7JUQL;8,W518XY;10,WGHG3L;14
A-24-21,ZX6MUV;5,6WT73N;6,M67GNC;7,8BSFSA;8,YXGRMP;6,32ZKOX;5,IJBSQT;13,FJ25W1;16,E5CISL;13,UNPPMJ;4,YKQY4X;8,SMMRK3;12,C5O9C9;12,F29V5I;13,AKP0A7;8,KTDZY0;13,9KHDG3;13,B24J86;6
A-24-22,8E9F1P;6,T3NVTG;6,8E9F1P;10,TB6WIP;15,TBCCF7;14,DNLEH7;10,1JT1XB;7,Z8KPP8;12,NM6C73;6,JCNON3;15,5P2MVG;4,2Z7ZEP;16,APQKWK;12,WRRW1W;9,C5O9C9;5,JHSQHS;13,7BU1V7;15,I2B1FH;15
A-24-23,I1X92B;11,EAJXUV;5,WH1BJI;7,APQKWK;11,D05ZS7;8,Z8KPP8;5,TAHFOD;11,J2URNJ;7,SY1DDY;13,O9YFO8;12,XSFSKX;9,ZRCYSH;16,XUZJ74;5,02MRUH;13,ZRCYSH;7,8N10W9;6,HCMI82;13,SSQFQA;12
A-24-30,I1X92B;6,Z26SRT;12,ODZZLY;8,6M2FJM;13,9KZ6W1;12,N6JU7C;16,5MNTT7;5,YKQY4X;11,WGHG3L;5,4ILN0A;13,CD1NU9;5,ETU70R;4,8D9SAW;7,CVU3QV;14,X31OGS;5,EA91CP;7,X0HH8Y;4,ULG3QT;7
A-24-40,SY1DDY;15,6MKIC6;9,HI2X6U;16,A19092;16,RUUOCB;12,ASG1IT;10,U8203G;12,AB9XBU;13,RN2DSQ;4,VHQ356;5,UHYJ3A;8,E5CISL;7,B24J86;16,QP56BU;9,XSFSKX;15,QXS5D1;6,M8W7TS;12,4SD17H;4
B-13-11,JGP0ID;7,37VA62;7,O7TSVL;8,Z26SRT;13,4SD17H;8,Z8KPP8;13,O7AXAK;6,37VA62;6,SSQFQA;6,IYV9SV;6,PZUF7K;8,G8ASPE;9,Z26SRT;11,J3FI7N;12,IYLV38;15,IYXV3Z;12,APQKWK;5,7BU1V7;15
B-13-12,XPZSZ1;16,ULG3QT;7,9FWH2G;4,SVJZKL;15,0LNUOV;8,ZX6MUV;12,ZGYCSW;7,7GC57K;10,UMKYTJ;15,F7LULH;8,9S4AF8;15,N6JU7C;10,Q164T6;16,70EPUK;7,XUZJ74;8,ADT9MG;10,GPBMZJ;5,QVFB0Q;16
B-13-13,05W6TK;8,37VA62;12,HXQR4L;14,1JT1XB;5,84ABYS;14,IYLV38;8,5MNTT7;5,WRRW1W;5,122OKQ;4,QM2UH1;9,DNLEH7;8,EAJXUV;10,FJ25W1;8,LXJQVG;7,5IXVJ1;9,DGAONE;7,XLTRGL;4,HCMI82;9
B-13-21,J3FI7N;7,2OAVPY;9,ETU70R;9,8E9F1P;6,4E1WTK;6,O9YFO8;4,05W6TK;12,D05ZS7;11,CU53FM;10,F29V5I;10,7GC57K;12,ETU70R;16,UDF17E;13,63KAC1;10,KUFVRI;6,QVFB0Q;6,9KZ6W1;10,K3YA1X;8
B-13-22,EBKM6C;7,AHSNWF;4,YE890X;7,XLTRGL;6,6NDM0O;14,D05ZS7;15,HLOISD;4,9KZ6W1;9,FQ53YY;9,TQBVRI;11,ZX6MUV;12,ZVUW6Z;6,O7TSVL;11,EAJXUV;16,XLTRGL;9,ZRCYSH;13,W25EZN;12,9KZ6W1;6
B-13-23,0LNUOV;6,JCNON3;9,QP56BU;12,M8W7TS;16,U8203G;9,ETU70R;10,HOUGRO;16,IYLV38;7,F0P5OQ;6,X0HH8Y;12,W25EZN;10,ASG1IT;12,CU53FM;6,TLFT43;7,CVU3QV;12,JWTWL1;8,QTMT7N;10,X31OGS;7
B-13-30,W25EZN;12,J2URNJ;9,H1I7JZ;15,SVFO5S;9,ASG1IT;14,E5CISL;13,U8203G;12,DF3KQM;11,SMMRK3;15,PC1PMV;9,JUUL5B;11,U95NWB;13,TOENMT;6,066BOU;4,VWXLZJ;4,X0HH8Y;11,I2B1FH;10,6M2FJM;7
B-13-40,I2B1FH;11,JCIIEB;16,YE890X;6,NISP6K;9,8E9F1P;15,F7LULH;15,U8203G;6,VWXLZJ;4,1JT1XB;4,0LNUOV;9,5HQR89;11,EA91CP;13,W25EZN;4,VWXLZJ;5,CU53FM;12,4SD17H;11,B24J86;8,EBKM6C;8
B-14-11,37VA62;4,7GC57K;13,3LQL9L;4,LXJQVG;12,CD1NU9;15,HXQR4L;15,XLTRGL;11,SMMRK3;5,I2B1FH;6,T3NVTG;15,UHYJ3A;9,PC1PMV;7,AB9XBU;10,RAUDQ6;5,EQQBND;9,EQQBND;13,2OAVPY;11,AHSNWF;10
B-14-12,8D9SAW;10,SMMRK3;16,K3YA1X;11,JU0ODD;12,800OVF;9,JCIIEB;7,9VBE59;13,ODZZLY;8,D8AMD3;6,6N3PKW;9,G8ASPE;13,RN2DSQ;5,NJVZEL;11,YE890X;5,9KZ6W1;7,FQ53YY;9,2OAVPY;6,J3FI7N;10
B-14-13,EYEOXS;13,TBCCF7;12,CD1NU9;15,2Z7ZEP;14,SMMRK3;13,2Z7ZEP;8,TLFT43;12,122OKQ;16,1D2ILZ;4,5HQR89;10,122OKQ;4,X0HH8Y;16,ZGYCSW;11,TQBVRI;12,V6K6JX;7,SVJZKL;8,JCIIEB;6,0SJH1Z;8
B-14-21,TB6WIP;5,9KZ6W1;16,UHYJ3A;4,QM2UH1;16,G8ASPE;9,WH1BJI;11,TNAHD4;12,M67GNC;4,8D9SAW;4,ZGYCSW;10,EAJXUV;9,T3NVTG;14,1ENECA;11,N6JU7C;5,HA0BOB;10,PC1PMV;13,QP56BU;4,CD1NU9;6
B-14-22,066BOU;6,2T1DJM;7,70EPUK;15,F29V5I;13,JHSQHS;8,DF3KQM;10,NISP6K;14,5HQR89;14,UHYJ3A;13,M67GNC;9,EYEOXS;4,JUUL5B;14,TLFT43;6,W518XY;14,Y813MQ;13,LXJQVG;4,X0HH8Y;7,HI2X6U;8
B-14-23,W25EZN;7,JU0ODD;8,HLOISD;15,GPBMZJ;11,AKP0A7;10,HCMI82;7,TNZ1OO;14,YMN5EM;10,LXJQVG;5,37VA62;9,J3FI7N;6,QOMHJ2;12,RN2DSQ;8,84ABYS;13,XLTRGL;7,9S4AF8;7,N6JU7C;8,M67GNC;6
B-14-30,4SD17H;14,ZX6MUV;7,UDF17E;8,9KHDG3;14,XFQ9CP;12,N6JU7C;4,TNZ1OO;11,SMMRK3;4,XLTRGL;11,V6K6JX;10,32ZKOX;4,PC1PMV;5,YE890X;13,D05ZS7;16,05W6TK;16,V7JUQL;12,TQBVRI;10,KUFVRI;8
B-14-40,9VBE59;4,JU0ODD;15,ZX6MUV;7,PP9DNA;13,ETU70R;11,SVFO5S;8,XPZSZ1;13,H1I7JZ;4,56TC1Z;10,I1X92B;12,HI2X6U;10,UDF17E;12,PY5UPB;6,ULG3QT;9,02MRUH;7,8BSFSA;7,HGXJD0;11,DSQXYR;13
B-15-11,ZRCYSH;15,VHQ356;12,SY1DDY;15,F0P5OQ;15,QXS5D1;16,M8W7TS;12,JUUL5B;5,XUZJ74;13,S90CD9;16,BLJLMQ;5,BLJLMQ;14,DGAONE;7,UNPPMJ;6,O9YFO8;15,TOENMT;9,TB6WIP;7,NISP6K;9,ULG3QT;12
B-15-12,F0P5OQ;4,KZ5VR3;13,QTMT7N;10,A7MDBC;5,NISP6K;10,EA91CP;11,CU53FM;13,EQQBND;4,4E0KXI;5,9KHDG3;13,8BSFSA;6,5HQR89;8,IAKTYD;16,JUUL5B;7,PY5UPB;15,9KHDG3;9,M8W7TS;14,DSQXYR;9
B-15-13,W25EZN;7,JCNON3;9,HGXJD0;8,LXJQVG;13,KUFVRI;16,SWN7AU;12,PZUF7K;11,SVJZKL;11,CST1KC;8,F73ZE1;8,F0P5OQ;8,QTMT7N;15,TQBVRI;4,U8203G;12,ZRCYSH;7,DNLEH7;4,SY1DDY;11,GPBMZJ;15
B-15-21,0SJH1Z;8,3LQL9L;6,56TC1Z;4,X31OGS;12,NISP6K;4,9KZ6W1;13,DSQXYR;9,RN2DSQ;16,DGAONE;9,QP56BU;5,O7AXAK;12,PY5UPB;11,J3FI7N;12,RBKNR4;11,DGAONE;11,RAUDQ6;15,9KZ6W1;13,YN8OHN;15
B-15-22,RBKNR4;7,ODZZLY;10,8BSFSA;10,4SD17H;16,6MKIC6;11,UNPPMJ;11,DGAONE;4,56TC1Z;10,N6JU7C;11,JCIIEB;12,W518XY;8,800OVF;13,FJ25W1;7,RAUDQ6;10,5IXVJ1;16,KUFVRI;8,JCNON3;12,TQBVRI;5
B-15-23,32ZKOX;15,4E0KXI;6,N6JU7C;5,J2URNJ;10,9KZ6W1;15,WGHG3L;16,UCRNWD;16,122OKQ;7,JGP0ID;7,2Z7ZEP;16,HOUJQN;9,YKQY4X;10,CU53FM;14,I1KDJ0;16,F0P5OQ;10,JHSQHS;11,EQQBND;11,SMMRK3;8
B-15-30,HA0BOB;14,ODZZLY;15,Q164T6;12,Z8KPP8;4,JCIIEB;5,UHYJ3A;4,9S4AF8;11,Z8KPP8;11,ZGYCSW;12,EQQBND;5,XLTRGL;5,CD1NU9;11,5P4LRT;10,SY1DDY;13,AHR20O;11,1A6YTA;4,KUFVRI;10,70EPUK;12
B-15-40,ULG3QT;8,EQQBND;14,I1KDJ0;8,KUFVRI;7,IYXV3Z;15,ZX6MUV;14,QM2UH1;5,U95NWB;5,QTMT7N;13,IYXV3Z;6,XFQ9CP;7,J2URNJ;15,DNLEH7;14,J3FI7N;10,56TC1Z;8,AX7BJ8;10,KZ5VR3;14,IYV9SV;7
B-16-11,FQ53YY;10,WH1BJI;8,UNPPMJ;4,IYLV38;7,EUMBM7;10,WRRW1W;15,2Z7ZEP;4,4ILN0A;6,LXJQVG;15,VWXLZJ;4,70EPUK;12,6N3PKW;7,UDF17E;10,6WT73N;4,KUFVRI;6,CD1NU9;12,7BU1V7;11,HA0BOB;11
B-16-12,FQ53YY;15,JCNON3;11,EBKM6C;7,QXS5D1;10,SVFO5S;15,YF0X2Z;15,122OKQ;12,ZRCYSH;9,4E1WTK;14,V6K6JX;16,TBCCF7;8,CD1NU9;5,W25EZN;6,5HQR89;7,EYEOXS;6,8BSFSA;9,9VBE59;5,1ENECA;6
B-16-13,2LPO6D;10,SWN7AU;5,EAJXUV;4,D8AMD3;6,05W6TK;14,70EPUK;9,BLJLMQ;4,066BOU;11,A7MDBC;4,5X8RAN;13,TB6WIP;11,800OVF;13,PY5UPB;14,ADT9MG;16,JCIIEB;7,ETU70R;11,Y813MQ;6,D8AMD3;5
B-16-21,Y813MQ;7,EYEOXS;12,JEGRCL;13,SVFO5S;9,F98BNI;7,XUZJ74;6,VHQ356;9,5P2MVG;13,YN8OHN;14,ULG3QT;16,ULG3QT;5,YRRNGL;4,32ZKOX;15,IYLV38;11,3LQL9L;6,H51IVV;6,LXJQVG;5,HOUJQN;15
B-16-22,QP56BU;8,2Z7ZEP;11,ETU70R;4,F98BNI;7,YMN5EM;5,EUMBM7;5,YN8OHN;7,4E1WTK;11,122OKQ;5,ZX6MUV;10,J2URNJ;13,F29V5I;5,O7AXAK;7,TOENMT;16,F0P5OQ;13,O7TSVL;13,TLFT43;16,AX7BJ8;10
B-16-23,BLJLMQ;16,F98BNI;13,WRRW1W;9,5P4LRT;13,DNLEH7;12,7BU1V7;5,FJ25W1;16,2OAVPY;9,JU0ODD;9,S90CD9;9,EBKM6C;4,EYEOXS;7,D8AMD3;14,QP56BU;14,AHSNWF;6,SSQFQA;7,9KZ6W1;13,YKQY4X;4
B-16-30,F0P5OQ;11,HOUJQN;8,RN2DSQ;10,ZRCYSH;13,SVFO5S;8,O9YFO8;13,9KHDG3;13,XSFSKX;4,QTMT7N;11,PP9DNA;9,HLOISD;16,Z26SRT;16,ZX6MUV;8,7BU1V7;12,1JT1XB;8,HLOISD;13,Y813MQ;11,AHSNWF;5
B-16-40,ULG3QT;6,CVU3QV;15,066BOU;13,HI2X6U;16,JU0ODD;9,AHR20O;10,HI2X6U;15,IYV9SV;5,JCNON3;7,HGXJD0;6,EA91CP;12,CU53FM;9,V7JUQL;14,BLJLMQ;7,M67GNC;6,SVJZKL;8,TAHFOD;15,WGHG3L;5
B-17-11,DSQXYR;15,JCIIEB;15,05W6TK;16,MLV9BR;7,YMN5EM;9,IA7X1P;5,TLFT43;13,5HQR89;15,SVJZKL;7,B24J86;9,M67GNC;14,ASG1IT;5,QP56BU;10,CD1NU9;15,FQ53YY;15,JHSQHS;14,02MRUH;9,SVJZKL;6
B-17-12,CVU3QV;10,5P4LRT;15,UDF17E;8,AHSNWF;11,JU0ODD;7,RBKNR4;12,37VA62;13,84ABYS;4,UDF17E;12,8D9SAW;6,4E0KXI;11,HOUGRO;5,QOMHJ2;7,QVFB0Q;14,D05ZS7;11,LXJQVG;9,A7MDBC;14,EA91CP;14
B-17-13,O7AXAK;4,IYV9SV;12,J2URNJ;13,UHYJ3A;8,4E1WTK;12,8D9SAW;4,8BSFSA;13,32ZKOX;14,D8AMD3;5,JEGRCL;6,5HQR89;16,VHQ356;9,HI2X6U;8,ETU70R;4,Z8KPP8;14,JCNON3;10,HOUJQN;15,ULG3QT;14
